NTD ID,Legacy NTD ID,Agency,Mode/Type of Service Status,Reporter Type,UACE CD,UZA Name,Mode,TOS,3 Mode,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,
30045,3045,"JAUNT, Inc.",Active,Full Reporter,15724,"Charlottesville, VA",DR,DO,Bus,,,,,,,"280,065 ","303,155 ","307,524 ","321,769 ","332,810 ","301,262 ","324,476 ","312,476 ","322,629 ","330,979 ","303,822 ","277,406 ","142,781 ","141,769 ","172,538 ","190,794 ","178,148 ","171,430 ","43,152 ",
30048,3048,County of Howard,Active,Small Systems Reporter,04843,"Baltimore, MD",DR,PT,Bus,"125,674 ","65,370 ",,,"78,921 ","108,549 ","131,616 ","112,136 ","86,823 ","77,365 ","74,490 ","72,126 ","76,374 ","70,698 ","70,524 ","69,293 ","77,678 ","84,559 ","54,252 ","27,021 ",,,,,,
30048,3048,County of Howard,Inactive,Small Systems Reporter,04843,"Baltimore, MD",DR,TX,Bus,,,,,,,,,,,,,"9,574 ","7,932 ","11,412 ","14,684 ","13,861 ","17,122 ","3,494 ",180 ,,,,,,
30048,3048,County of Howard,Inactive,Small Systems Reporter,04843,"Baltimore, MD",MB,PT,Bus,"497,458 ","454,956 ",,,"746,127 ","771,203 ","916,218 ","958,844 ","895,194 ","927,257 ","994,969 ","1,076,886 ","1,083,034 ","1,016,088 ","883,512 ","749,539 ","668,060 ","624,065 ","329,693 ","125,649 ",,,,,,
30050,3050,"G G and C Bus Company, Inc.",Inactive,Full Reporter,69697,"Pittsburgh, PA",DR,DO,Bus,0 ,0 ,,"110,387 ","109,497 ","127,603 ","64,334 ",,,,,,,,,,,,,,,,,,,
30050,3050,"G G and C Bus Company, Inc.",Inactive,Full Reporter,69697,"Pittsburgh, PA",MB,DO,Bus,0 ,0 ,,"40,981 ","40,981 ","39,144 ","40,514 ",,,,,,,,,,,,,,,,,,,
30051,3051,"Montgomery County, Maryland",Active,Full Reporter,92242,"Washington--Arlington, DC--VA--MD",DR,DO,Bus,,,,,,,,,,,,,,,,,,"6,466 ","2,158 ","5,987 ","9,832 ","12,292 ","12,076 ","12,948 ","3,179 ",
30051,3051,"Montgomery County, Maryland",Inactive,Full Reporter,92242,"Washington--Arlington, DC--VA--MD",DR,PT,Bus,,"659,744 ","682,901 ","615,061 ","434,744 ","86,898 ","103,153 ","115,689 ","185,429 ","17,817 ","18,693 ","8,666 ",,,,,,,,,,,,,,
30051,3051,"Montgomery County, Maryland",Inactive,Full Reporter,92242,"Washington--Arlington, DC--VA--MD",DR,TX,Bus,,,,,,,,,,"213,289 ","206,344 ","91,599 ",,,,,,,,,,,,,,
30051,3051,"Montgomery County, Maryland",Active,Full Reporter,92242,"Washington--Arlington, DC--VA--MD",MB,DO,Bus,,"19,354,592 ","20,397,464 ","22,403,651 ","23,569,280 ","25,574,547 ","29,720,891 ","28,332,191 ","27,078,098 ","26,914,880 ","27,082,797 ","26,673,729 ","26,328,306 ","25,284,604 ","23,425,873 ","22,479,212 ","20,952,699 ","20,717,628 ","10,422,331 ","12,299,522 ","13,828,313 ","16,623,953 ","19,222,796 ","19,408,907 ","4,553,019 ",
